Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
302.1,311,1351,60.3,207,1
302,310.8,1383,50.3,231,1
302,310.8,1615,29,235,1
301.9,310.9,1419,47.7,20,1
301.9,311,2691,12.1,31,1
301.9,310.6,1331,68.6,85,1
302.1,310.7,1294,62.4,101,1
302,310.4,1357,58,108,1
302,310.4,1336,58.2,110,1
301.9,310.4,1376,54.9,126,1
301.9,310.4,1370,51.7,153,1
301.9,310.5,1340,55.7,204,1
302.1,310.7,1325,45.1,208,1
302.1,310.7,1376,46.3,210,1
302.1,310.7,1364,47.8,213,1
301.9,310.4,1286,62.8,22,1
301.7,310.2,1311,57.4,40,1
301.7,310.2,1331,61.2,47,1
301.9,310.4,1373,48,73,1
302,310.4,1212,55.6,79,1
302,310.5,1370,44.4,85,1
302,310.5,1263,60.6,90,1
302.2,310.6,1346,47.5,109,1
302.2,310.6,1355,51.5,126,1
302.2,310.6,1346,49.2,134,1
302.4,310.9,1349,46.1,148,1
302.4,310.7,1362,54.8,155,1
302.2,310.6,1334,53.2,159,1
302.2,310.6,1348,48.4,161,1
302.3,310.9,1710,30.4,218,1
302.1,310.7,1314,52.8,8,1
302.1,310.7,1359,49.3,41,1
302.6,311,1369,60,93,1
302.5,310.9,1330,56.9,97,1
302.5,310.9,1356,55.5,101,1
302.6,311,1329,48.6,111,1
302.6,311,1284,68,114,1
302.7,311.1,1297,60.7,125,1
302.6,310.9,1331,52,154,1
302,310.1,1361,45.4,174,1
301.9,309.9,1374,48.5,180,1
301.8,309.9,1334,61,182,1
301.7,309.9,1317,49,187,1
301.8,310.1,2372,13.9,205,1
301.8,310.2,2825,5.8,215,1
301.4,309.9,1259,63.9,20,1
301.8,310.3,1341,50.5,64,1
301.6,310.1,1362,55.8,70,1
301.6,310.1,1326,48.2,77,1
301.7,309.8,1284,68.2,111,1
302,309.7,1386,62.7,142,1
302,309.8,1280,57.3,147,1
302.1,310.1,1379,48.2,166,1
302,309.9,1308,57.6,197,1
301.7,309.5,1298,65.5,229,1
301.8,309.7,1442,45.3,233,1
302.1,310,1355,45.1,6,1
302.2,310.1,1368,51.6,12,1
302.3,310.1,1353,50.9,36,1
302.4,310.2,1331,45.5,53,1
302.5,310.3,1326,58.5,55,1
302.4,310.1,1358,54.6,61,1
302.6,310.4,1365,66.8,80,1
302.6,310.2,2676,10.8,84,1
302.6,310.2,1325,62.4,92,1
302.4,310.1,1379,48.9,107,1
302.3,310.1,1321,52.7,134,1
302.5,310.2,1329,50.6,148,1
302.4,310.3,1374,51.2,163,1
302.4,310.3,1378,54.3,165,1
302.7,310.5,1263,67.8,197,1
302.7,310.5,1446,40.9,211,1
302.7,310.5,1351,41.8,10,1
302.7,310.4,1305,55.2,20,1
302.6,310.4,1359,57.2,67,1
302.5,310.2,1307,54,86,1
302.4,310.2,1346,62.4,106,1
302.4,310.5,1372,45.7,144,1
302.4,310.3,1375,52.5,161,1
302.4,310.2,1351,45.1,168,1
302.5,310.4,1349,55.1,187,1
302.7,310.6,1349,51.2,6,1
302.7,310.7,1369,47.5,11,1
302.7,310.8,1275,55,25,1
302.8,310.9,1312,52.2,40,1
303,311.2,1374,48.2,65,1
303,311.2,1361,47.6,106,1
303,311,1359,44.2,115,1
303,311.1,1372,54.3,117,1
303,311.3,1365,56.2,146,1
303,311.3,1335,53.6,164,1
303.1,311.3,1336,52.6,172,1
303,311.2,1341,51,174,1
302.9,311.2,1330,53.7,200,1
303.2,311.4,1238,54.6,226,1
303.2,311.4,1324,54.2,228,1
303.3,311.4,1497,46,234,1
303.2,311.4,1349,51.1,9,1
303.3,311.3,1350,48.1,32,1
303.4,311.4,1307,54,44,1
303.3,311.5,1373,47.3,60,1
303.6,311.8,1421,44.8,101,1
303.6,311.8,1222,66.8,148,1
303.3,311.6,1337,56.8,187,1
303.4,311.7,1353,44.1,192,1
303.4,311.8,1366,50.9,200,1
303.4,311.8,1341,47,210,1
303.4,311.8,1306,61,215,1
303.3,311.6,1301,45.1,219,1
303.2,311.5,1336,58.2,2,1
303.2,311.4,1351,53.8,8,1
303.2,311.2,1363,46.7,29,1
303.4,311.7,1295,51.3,51,1
303.5,311.6,1361,46.5,62,1
303.7,311.9,1332,52.7,66,1
303.7,312,2663,11.4,71,1
303.6,312,1309,52.9,86,1
303.5,311.9,1344,49.3,93,1
303.6,312.2,1371,54.6,112,1
303.4,311.8,1401,53,208,1
303.4,312,1521,35.9,215,1
303.5,312,1366,54.5,30,1
303.4,311.9,1377,41.6,34,1
303.3,311.8,1315,62,42,1
303.4,311.9,1298,63.9,59,1
303.4,311.8,1316,50.9,69,1
303.7,312.1,1363,51.8,90,1
303.4,312.2,1337,69.4,52,1
303.5,312.4,1284,70.6,94,1
303.7,312.7,1359,56.8,194,1
303.8,313.1,1256,58.7,213,1
303.8,313.1,2497,13,5,1
303.6,312.8,2659,11.4,26,1
304,313.2,1271,68.6,161,1
304,312.9,1363,62.5,200,1
304.4,313.7,1509,35,205,1
303.8,313,1365,59.9,205,1
303.9,313.2,1422,48,215,1
303.4,312.6,2706,9.8,65,1
302.8,312.3,1262,70.5,234,1
302.8,312.4,1411,53.8,246,1
302.7,312.4,1477,46.3,251,1
302.6,312.3,1454,54.8,253,1
302.7,312.2,1450,52.1,213,1
302.6,312.1,1288,68.5,0,1
302.3,311.8,1363,54,119,1
303,312.2,1257,71.3,122,1
303.1,312.4,1404,61.5,127,1
302.4,311.9,1290,70,139,1
302.3,311.8,1369,56.2,208,1
300.7,310.2,1364,65.3,208,1
300.6,310.7,1438,48.5,78,1
300.4,310.2,1671,30.5,234,1
300.7,310.9,1356,65.3,66,1
300.8,310.7,1339,59.1,203,1
301,311.1,1236,64.4,177,1
301,311,1399,58,190,1
300.8,310.6,1577,37.9,227,1
301.1,310.9,1282,67.9,10,1
300.8,310.1,1405,61.2,189,1
301,310.5,1379,57.3,204,1
301,310.6,1493,37.8,206,1
300.5,309.9,1397,45.9,210,1
300.3,309.9,1394,46.7,210,1
300.5,309.8,1663,29.1,145,1
300.8,309.9,1312,65.3,192,1
301.1,310.4,1312,73.6,49,1
301.4,310.7,1368,63.7,92,1
301.6,310.6,1309,65.8,75,1
301.6,310.7,1380,51.8,216,1
301.5,310.7,1336,65.6,0,1
301.7,311,1441,44.3,208,1
301.1,310.7,2636,12.2,100,1
301.2,311.6,1461,52.9,208,1
300.8,311.4,1322,67.2,18,1
300.7,311.1,2478,13.4,170,1
300.5,310.5,2633,12.2,17,1
300.7,310.4,1416,61.8,209,1
300.6,310.3,1648,30.5,217,1
300.3,310.3,1362,60.3,206,1
299.9,310.2,1288,69.6,62,1
300,311.4,1692,29,216,1
300.6,311.9,1372,60.1,212,1
300.5,311.8,1524,38.9,214,1
300.1,311.3,2579,12.5,64,1
300.3,311.2,1381,65.2,136,1
300.2,311,1255,71.8,149,1
300.5,311.1,1296,61.3,202,1
300.5,311.2,1270,67.5,208,1
300.7,311.8,1336,58.4,189,1
300.7,311.7,2097,18.9,232,1
300.5,311.8,1368,57.9,191,1
300.4,311.8,1272,59.2,198,1
300.4,311.6,1200,76.6,3,1
300.3,311.7,1374,47.9,222,1
300.8,312.4,1465,59.1,91,1
300.7,311.9,1335,57.1,194,1
301,312.2,2710,9.7,143,1
300.7,311.9,1399,50.2,222,1
300.4,311.8,1553,33.1,209,1
299.6,310.9,1229,65.2,209,1
299.4,310.8,1376,53.9,215,1
299.2,310.7,1737,27,225,1
299,310.3,1303,68.6,111,1
298.7,310.1,1402,69.7,64,1
298.5,309.5,1385,46.3,203,1
298.5,309.7,2617,12.1,102,1
298.7,309.8,1181,65.9,203,1
298.4,309.6,1710,27.3,163,1
297.5,308.1,1334,72,151,1
297.4,308.4,1369,50.6,220,1
297.4,308.3,1475,40.5,222,1
297.1,308.5,1323,44.4,207,1
297.4,308.8,1325,62.4,204,1
297.3,308.3,1459,59.6,207,1
297.2,308.1,1340,61.3,207,1
297.2,308.1,1431,49.7,210,1
297.3,308.2,1396,52.7,212,1
297.3,308.1,1615,35.4,217,1
297.2,307.9,1326,75.4,172,1
297.8,308.9,1871,25.6,200,1
297.8,309,1403,64.2,0,1
298.1,308.6,1354,53.9,207,1
299.1,309.8,1398,55.4,217,1
299.6,310.7,1922,23.3,205,1
299,310.2,1377,62.5,92,1
299,309.9,1373,55.7,201,1
299.1,310,1367,56.3,203,1
298.9,309.8,1287,61.9,216,1
299.1,310.1,1435,48.8,229,1
299.1,310.2,1317,54.8,231,1
299.2,310.3,1352,48.9,238,1
298.6,309.8,2271,16.2,218,1
298.5,309.5,1294,66.7,12,1
298.5,309.4,1360,60.9,187,1
298.3,309.3,1337,56.1,206,1
298.6,308.2,1361,68.2,172,1
298.1,308.6,1551,42.8,0,0
298.2,308.7,1408,46.3,3,0
298.1,308.5,1498,49.4,5,0
298.2,308.6,1433,39.5,7,0
298.2,308.7,1408,40,9,0
298.1,308.6,1425,41.9,11,0
298.1,308.6,1558,42.4,14,0
298.1,308.6,1527,40.2,16,0
298.3,308.7,1667,28.6,18,0
298.5,309,1741,28,21,0
298.4,308.9,1782,23.9,24,0
298.6,309.1,1423,44.3,29,0
298.6,309.1,1339,51.1,34,0
298.6,309.2,1742,30,37,0
298.6,309.2,2035,19.6,40,0
298.6,309.2,1542,48.4,42,0
298.6,309.2,1311,46.6,44,0
298.7,309.2,1410,45.6,47,0
298.8,309.2,1306,54.5,50,0
298.9,309.3,1632,32.5,55,0
298.9,309.3,1375,42.7,58,0
298.8,309.3,1450,44.8,63,0
298.9,309.3,1581,30.7,65,0
299,309.4,1758,25.7,68,0
299,309.4,1561,37.3,70,0
299,309.5,1861,23.3,73,0
299.1,309.5,1512,39,75,0
299.1,309.4,1811,24.6,77,0
299.1,309.4,1439,44.2,82,0
299,309.4,1693,30.1,84,0
299.1,309.5,1339,48.2,86,0
299,309.4,1798,25.5,89,0
299,309.4,1419,48.3,91,0
298.9,309.3,1665,32.5,93,0
298.8,309.1,1559,34.7,95,0
298.8,309.2,1452,48.6,98,0
298.9,309.2,1581,36.7,101,0
298.8,309.1,1439,39.2,104,0
298.9,309.2,1379,50.7,106,0
298.8,309.1,1350,52.5,111,0
298.8,309.1,1362,45.4,113,0
298.8,309.1,1368,50.8,115,0
298.8,309.1,1368,49.1,117,0
298.8,309.2,1372,48.5,120,0
298.8,309.1,1472,47.5,125,0
298.8,309.1,1489,49.1,128,0
298.7,309,1843,25.8,130,0
298.8,309.1,1418,46.3,133,0
298.8,309.2,1425,53.9,135,0
298.9,309.2,1412,44.1,140,0
298.9,309.1,1383,54.9,145,0
298.8,309,1497,43.8,147,0
298.7,309,1565,35.1,152,0
298.7,309,1691,30.1,154,0
298.8,309.1,1512,40.7,156,0
298.8,309.1,1477,42.4,158,0
298.8,309.1,1513,40.3,160,0
298.8,309,1661,29.5,162,0
298.8,309.1,1378,54.4,165,0
298.8,309.1,1393,52.6,167,0
298.8,309,1592,38.2,169,0
298.8,309,1829,22.9,172,0
298.9,309,1812,25.9,174,0
299,309.1,1523,38.6,177,0
299,309.1,1394,45.1,179,0
298.9,308.9,1679,28.7,181,0
298.8,308.9,1466,44.1,184,0
298.8,308.9,1527,32.4,189,0
298.9,309,1924,22.6,193,0
298.9,309.1,1452,45.5,196,0
298.9,309.1,1369,44.4,198,0
299,309.1,1592,35,200,0
298.9,309,1601,32.3,202,0
298.8,308.9,1379,46.7,204,0
298.8,308.9,1461,47.9,206,0
298.8,308.9,1398,51.5,0,0
298.8,308.9,1402,37.9,2,0
298.8,308.8,1445,49.9,4,0
298.9,308.9,1450,47.5,9,0
298.9,308.9,1453,40.8,11,0
299,309,1469,40.1,13,0
298.9,308.9,1422,47.6,15,0
299,309,1804,26.8,17,0
299,309,1436,43.9,20,0
299,309,1544,31.8,25,0
299,309,1419,45.2,27,0
298.9,308.9,1487,39.5,30,0
298.9,308.9,1753,25.8,33,0
298.9,308.9,1830,24.9,35,0
298.9,308.9,1727,27.1,37,0
299.1,309,1450,43,40,0
299,308.9,1622,31.9,42,0
299,309,1351,52.2,44,0
299,309,1575,35.3,47,0
298.9,308.9,1750,29.9,50,0
298.9,308.8,1529,32.7,53,0
298.8,308.8,1523,44.4,55,0
298.8,308.9,1852,25,57,0
298.8,308.8,1991,20.7,59,0
298.8,308.8,1555,40.6,61,0
298.8,308.8,1441,40.5,63,0
298.8,308.7,1450,43.4,66,0
298.8,308.7,1591,31.1,68,0
298.8,308.7,1445,48.5,70,0
298.8,308.8,1497,46.8,72,0
298.9,308.8,1621,32.7,75,0
298.9,308.7,1572,34.1,80,0
298.8,308.6,1872,22.5,82,0
298.7,308.6,1499,43.5,84,0
298.8,308.7,1498,39.5,89,0
298.8,308.6,1486,41.9,92,0
298.8,308.6,1680,29.4,95,0
298.8,308.6,1431,45.7,97,0
298.9,308.7,1564,34.1,99,0
298.8,308.6,1599,33,101,0
298.8,308.6,1707,28.1,103,0
298.7,308.5,1467,40.7,106,0
298.9,308.7,1433,44.7,108,0
298.9,308.7,1558,41.2,110,0
299,308.8,1310,50.7,112,0
298.9,308.7,1546,43.4,114,0
298.9,308.7,1727,29.4,116,0
298.9,308.6,1560,32.2,118,0
299,308.6,1329,60.5,120,0
298.9,308.6,1413,46.5,122,0
299,308.6,1587,38.6,124,0
298.9,308.5,1559,34.3,126,0
298.8,308.4,1473,41.1,128,0
298.8,308.4,1737,27.7,130,0
298.7,308.4,1441,43.2,132,0
298.7,308.4,1430,49.6,135,0
298.8,308.4,1369,53,138,0
298.8,308.5,1711,28.5,140,0
298.7,308.5,1420,45.7,143,0
298.7,308.6,1297,55.3,148,0
298.8,308.6,1449,49.4,150,0
298.8,308.6,1268,55.8,155,0
298.8,308.6,1511,36.1,157,0
298.7,308.5,1544,35.2,159,0
298.6,308.4,1778,28.2,161,0
298.6,308.4,1407,50.5,164,0
298.6,308.4,1391,42.4,169,0
298.5,308.4,1513,33.6,172,0
298.5,308.4,1612,36.1,174,0
298.4,308.4,1515,40.1,179,0
298.3,308.3,1379,48,181,0
298.4,308.3,1473,39.9,184,0
298.4,308.3,1422,42.7,186,0
298.4,308.2,1463,37.6,188,0
298.4,308.2,1584,41,191,0
298.4,308.2,1850,27,194,0
298.4,308.2,1528,36.2,196,0
298.4,308.2,1987,19.8,198,0
298.4,308.1,1495,46,203,0
298.4,308.2,1478,43.5,206,0
298.4,308.2,1499,40,211,0
298.4,308.2,1471,47,214,0
298.3,308.1,1586,35.5,0,0
298.4,308.2,1468,43.8,2,0
298.5,308.3,1440,43.6,5,0
298.5,308.4,1733,26,8,0
298.4,308.2,1612,32.6,10,0
298.4,308.3,1458,42.9,15,0
298.4,308.3,1318,59.1,22,0
298.4,308.2,1610,35,24,0
298.2,308.1,1462,50.8,27,0
298.1,308,1924,20.8,29,0
298.2,308,1591,33.7,32,0
298.2,308.1,1306,58.3,35,0
298.2,308.1,1382,43.5,37,0
298.2,308.1,1618,34.7,39,0
298.2,308.2,1988,21.4,41,0
298.2,308.2,1436,50.2,43,0
298.2,308.3,1304,49.8,45,0
298.2,308.3,1475,49.9,47,0
298.2,308.3,1824,24.2,49,0
298.1,308.2,1342,48.1,54,0
298.1,308.2,1485,40.7,57,0
298.2,308.2,1667,30.6,59,0
298.2,308.2,1446,38.2,61,0
298.1,308.3,1301,56,63,0
298.2,308.4,1379,43.1,65,0
298.3,308.5,1606,33.6,67,0
298.3,308.4,1539,43.4,69,0
298.2,308.4,1477,49.9,72,0
298.2,308.4,1666,34.6,74,0
298.2,308.4,1398,51.8,76,0
298.2,308.4,1678,34.6,81,0
298.3,308.5,1453,42.9,89,0
298.3,308.6,1432,49.5,91,0
298.4,308.6,1527,40.9,96,0
298.4,308.7,1588,35,99,0
298.4,308.6,1433,47.1,101,0
298.4,308.6,1609,35,103,0
298.3,308.5,1575,41.2,105,0
298.4,308.5,1636,35.7,107,0
298.4,308.5,1490,37.9,110,0
298.4,308.5,1741,32.8,112,0
298.5,308.6,1344,53,114,0
298.5,308.7,1609,35.3,117,0
298.4,308.6,1591,36.7,122,0
298.4,308.6,1477,44,124,0
298.4,308.7,1523,36.1,126,0
298.5,308.7,1575,33.9,128,0
298.4,308.7,1344,52.9,130,0
298.4,308.7,1386,44.9,135,0
298.3,308.6,1589,37.1,137,0
298.3,308.6,1548,40.3,140,0
298.3,308.6,1499,38.3,142,0
298.3,308.5,1664,31.6,144,0
298.3,308.6,1447,38.1,146,0
298.3,308.5,1434,46.2,148,0
298.3,308.5,1416,52.7,151,0
298.4,308.5,1827,24.3,153,0
298.4,308.6,1304,45,158,0
298.4,308.6,1569,34.4,160,0
298.3,308.6,1584,29.3,162,0
298.3,308.5,1362,53.8,164,0
298.3,308.4,1329,49.2,166,0
298.3,308.5,1539,36.1,168,0
298.3,308.5,1629,37.1,170,0
298.3,308.5,1538,32.2,173,0
298.3,308.6,1570,34.8,175,0
298.3,308.4,1408,43.1,177,0
298.2,308.4,1424,47.6,179,0
298.2,308.4,1512,34.9,181,0
298.2,308.4,1478,42.9,183,0
298.1,308.3,1680,33.7,185,0
298.1,308.3,1495,38.7,188,0
298,308.1,1552,36.6,190,0
297.9,308.1,1393,50.3,193,0
298,308.2,1611,30.6,195,0
298,308.1,1339,51.6,197,0
298,308.1,1777,24.3,200,0
298,308.2,1442,44.1,204,0
298,308.2,1395,49.1,206,0
297.9,308.1,1627,31.4,209,0
297.9,308.1,1585,33.5,212,0
298,308.2,1469,45.5,214,0
298,308.3,1662,32.7,0,0
298,308.2,1466,42.6,2,0
298,308.2,1620,35.8,5,0
298,308.2,1357,48.2,7,0
298,308.2,1514,37.9,9,0
298,308.2,1489,40.4,11,0
298.1,308.3,1331,63,13,0
298,308,1615,29.5,15,0
298.1,308.2,1482,37.9,17,0
298.2,308.3,1522,49.1,22,0
298.1,308.2,1654,32.1,25,0
298.1,308.2,1736,26.8,27,0
298,308.1,1587,32.3,30,0
298.1,308.2,1390,47.5,33,0
298,308.1,1454,37.1,35,0
298,308.1,1440,43.7,37,0
297.9,308,1954,21.1,42,0
297.9,308,1800,24.8,44,0
298,308,1524,37,49,0
298,308,1520,39.6,51,0
298.1,308.1,1452,40.8,56,0
298.1,308.1,1484,40.4,59,0
298.1,308,1426,46,61,0
298.1,308,1652,28.5,63,0
298,308,1401,54.7,65,0
298,307.9,1750,26.6,67,0
298,308,1479,50.7,70,0
298,308,1620,29.4,75,0
298,308.1,1819,23.4,78,0
298.1,308.1,1456,43.7,80,0
298.1,308,1626,36.5,83,0
298.1,308.1,1390,49.8,85,0
298.2,308.2,1469,43,88,0
298.2,308.3,2051,19.2,90,0
298.2,308.3,1568,36,92,0
298.2,308.3,1589,33.2,94,0
298.2,308.3,1805,31.6,96,0
298.2,308.4,1385,42.2,98,0
298.1,308.4,1436,46.7,103,0
298.1,308.4,1438,45.6,105,0
298,308.3,1473,42.6,107,0
298.1,308.4,1335,40.2,109,0
298.1,308.5,1392,44.8,111,0
298.1,308.5,1372,51.1,116,0
298.1,308.6,1716,30.7,119,0
298,308.5,1395,46.2,122,0
298,308.5,1713,25.3,124,0
297.9,308.5,2129,18.7,126,0
297.8,308.3,1567,35.6,131,0
297.8,308.4,1622,38.3,134,0
297.7,308.4,1740,27.1,136,0
297.8,308.4,1512,35.1,138,0
297.8,308.4,1479,43.5,143,0
297.8,308.4,1737,27.5,146,0
297.8,308.4,2129,19.2,148,0
297.8,308.4,1374,47.1,150,0
297.8,308.4,1579,36.6,152,0
297.9,308.5,1305,47.2,155,0
297.9,308.5,1449,40.8,157,0
298,308.6,1526,41.8,160,0
298,308.6,1453,44.1,165,0
297.9,308.6,1468,36,168,0
298,308.6,1313,50.8,170,0
297.9,308.5,1300,53,172,0
297.9,308.4,1646,40.6,175,0
297.8,308.4,1714,33.2,177,0
297.8,308.4,1685,28.4,179,0
297.8,308.4,1512,39.9,181,0
297.8,308.4,1612,32.1,183,0
297.8,308.4,1550,38.2,185,0
297.8,308.4,1518,32.5,190,0
297.8,308.5,1448,40,192,0
297.8,308.5,1561,46.3,194,0
297.8,308.5,1488,41.9,196,0
297.8,308.5,1699,27.8,199,0
297.7,308.5,1501,41.4,201,0
297.6,308.4,1703,31.4,205,0
297.7,308.5,1720,29.9,210,0
297.6,308.4,1398,41.9,215,0
297.6,308.4,1391,51.9,218,0
297.6,308.3,1538,40.2,0,0
297.5,308.2,1647,31.3,3,0
297.5,308.1,1469,44.8,5,0
297.4,308.1,1749,25.9,8,0
297.6,308.2,1995,20.5,10,0
297.6,308.3,1742,27.7,13,0
297.5,308.2,1563,38.2,15,0
297.5,308.2,1713,32.2,17,0
297.4,308.1,1474,39.4,20,0
297.4,308.2,1530,32.6,22,0
297.4,308.2,1471,46.5,25,0
297.5,308.3,1388,48.6,27,0
297.5,308.2,2448,13.8,29,0
297.5,308.3,1585,32.9,32,0
297.5,308.3,1459,45.2,34,0
297.5,308.3,1544,40.8,37,0
297.6,308.3,1617,31.7,39,0
297.6,308.3,1595,34.3,41,0
297.6,308.3,1400,44.3,43,0
297.6,308.4,1611,31,48,0
297.6,308.4,1507,46,51,0
297.5,308.3,1674,30,54,0
297.6,308.3,1658,34.3,59,0
297.6,308.3,1623,36.9,61,0
297.6,308.4,1398,48.9,63,0
297.6,308.4,1517,34.2,66,0
297.6,308.3,1467,36.7,68,0
297.6,308.3,1567,34.6,71,0
297.5,308.3,1521,38.2,74,0
297.5,308.3,1596,36.8,77,0
297.6,308.3,1640,30.9,79,0
297.6,308.3,1438,47.8,84,0
297.6,308.4,1407,55.2,86,0
297.6,308.4,1353,57.5,88,0
297.6,308.5,1552,40.9,90,0
297.6,308.4,1569,38.3,93,0
297.5,308.4,1489,39.5,96,0
297.5,308.4,1587,36.1,98,0
297.5,308.3,1622,37.2,103,0
297.5,308.4,1604,38.1,106,0
297.4,308.3,1405,51.7,108,0
297.4,308.3,1412,42,111,0
297.4,308.3,1431,43,113,0
297.4,308.2,1533,37.4,115,0
297.4,308.2,1401,51.9,117,0
297.4,308.2,1424,53.9,120,0
297.3,308.2,1754,29.4,123,0
297.3,308.2,1754,26.8,125,0
297.5,308.5,1546,40.4,129,0
297.5,308.5,1335,48,131,0
297.5,308.6,1842,27,133,0
297.5,308.5,1712,26.8,136,0
297.6,308.6,1414,45.4,138,0
297.6,308.7,1319,50.9,141,0
297.7,308.7,1249,60.4,143,0
297.6,308.7,1455,48.2,145,0
297.6,308.7,1408,54.8,147,0
297.6,308.7,1460,46.7,150,0
297.6,308.6,1491,38.1,152,0
297.6,308.5,1490,43.4,154,0
297.5,308.4,1350,52.2,157,0
297.5,308.4,1528,39.9,160,0
297.4,308.3,1571,37.7,162,0
297.4,308.3,1490,42.6,164,0
297.4,308.3,1774,28.9,166,0
297.4,308.3,1502,43.6,169,0
297.4,308.4,1392,49.7,174,0
297.4,308.5,2100,16.9,176,0
297.5,308.5,1722,30.4,178,0
297.4,308.6,1678,32.3,180,0
297.3,308.6,1273,59.8,182,0
297.3,308.6,1297,45.9,184,0
297.3,308.5,1350,57.6,186,0
297.4,308.6,1439,51.9,188,0
297.4,308.5,1600,42.1,190,0
297.4,308.6,1434,44.4,193,0
297.4,308.6,1459,41.3,196,0
297.5,308.6,1472,44.9,198,0
297.5,308.7,1429,44.3,201,0
297.5,308.6,1388,48.2,203,0
297.4,308.4,1573,34.5,205,0
297.4,308.4,1588,32.5,207,0
297.5,308.4,1511,42.8,209,0
297.4,308.5,1495,37.8,211,0
297.4,308.4,1394,50.1,213,0
297.4,308.4,2151,17.7,0,0
297.3,308.3,1501,38.2,2,0
297.3,308.3,1301,39.6,5,0
297.3,308.3,1657,31.1,8,0
297.3,308.3,1333,55.2,11,0
297.3,308.3,1484,43.9,13,0
297.3,308.4,1430,45.7,15,0
297.3,308.4,1665,28.9,17,0
297.4,308.5,1501,44.9,20,0
297.5,308.5,1496,42.2,22,0
297.6,308.6,1595,36.9,25,0
297.5,308.6,1208,62.3,28,0
