step,customer,age,gender,merchant,category,amount,fraud
4,36,3,2,4,4,193.16,1
4,8,5,2,4,4,34.65,1
4,92,3,2,21,12,127.28,1
4,93,2,2,21,12,57.72,1
4,24,2,2,9,6,215.54,1
4,76,3,2,9,6,266,1
5,94,2,1,8,3,290.17,1
5,11,1,2,8,3,222.26,1
5,64,3,2,8,3,390.28,1
5,95,4,2,8,3,121.22,1
5,96,2,2,1,1,238.14,1
5,97,2,1,1,1,386.8,1
5,98,3,2,1,1,8.25,1
5,99,2,1,1,1,437.41,1
5,100,5,1,18,10,259.75,1
5,50,2,1,18,10,261.99,1
5,8,5,2,1,1,157.03,1
5,64,3,2,1,1,194.89,1
5,64,3,2,1,1,851.71,1
5,76,3,2,1,1,301.7,1
5,101,2,2,19,9,3682.79,1
5,101,2,2,19,9,2832.02,1
5,102,4,2,11,8,366.36,1
5,90,5,2,11,8,368.73,1
5,43,1,1,7,5,132.75,1
5,67,3,2,7,5,613.67,1
5,32,3,1,11,8,278.32,1
5,103,3,2,11,8,317.82,1
5,104,3,1,10,7,136.42,1
5,104,3,1,10,7,187.51,1
5,29,1,1,4,4,592.33,1
5,64,3,2,4,4,565.08,1
5,105,2,2,9,6,573.85,1
5,18,4,2,9,6,215.28,1
5,106,2,2,21,12,86.81,1
5,107,4,2,21,12,384.63,1
5,53,4,2,4,4,228.93,1
5,6,2,2,4,4,123.87,1
5,73,3,1,6,3,249.8,1
5,108,5,2,6,3,576.88,1
5,109,2,1,4,4,32.12,1
5,71,3,2,4,4,644.15,1
5,110,3,2,1,1,161.63,1
5,19,6,2,1,1,661.19,1
5,75,3,1,4,4,129.12,1
5,111,3,1,4,4,201.7,1
6,112,1,2,21,12,10.77,1
6,113,5,2,21,12,306.04,1
6,4,3,1,13,5,264.18,1
6,114,3,1,13,5,154.45,1
6,50,2,1,19,9,5326.55,1
6,67,3,2,19,9,297.43,1
6,36,3,2,4,4,255.29,1
6,67,3,2,4,4,97.49,1
6,76,3,2,1,1,52.14,1
6,19,6,2,1,1,219.33,1
6,49,3,2,23,9,3611.11,1
6,115,4,2,23,9,2503.3,1
6,50,2,1,4,4,776.51,1
6,116,6,1,4,4,27.45,1
6,50,2,1,1,1,563.2,1
6,34,4,1,1,1,817.59,1
6,36,3,2,11,8,398.85,1
6,8,5,2,11,8,395.67,1
6,76,3,2,21,12,268.04,1
6,117,2,2,21,12,42.08,1
6,34,4,1,1,1,614.25,1
6,109,2,1,1,1,418.09,1
6,64,3,2,20,11,627.98,1
6,118,1,2,20,11,64.27,1
6,119,3,2,8,3,241.47,1
6,120,2,1,8,3,61.61,1
6,121,5,2,23,9,5070.57,1
6,122,2,1,23,9,4762.5,1
6,64,3,2,4,4,749.53,1
6,53,4,2,4,4,460.96,1
6,123,5,1,14,9,6142.59,1
6,90,5,2,14,9,2981.86,1
6,124,3,1,5,4,925.66,1
6,88,1,2,5,4,70.75,1
6,64,3,2,8,3,19.13,1
6,19,6,2,8,3,283.87,1
6,125,3,1,9,6,73.79,1
6,97,2,1,9,6,628.61,1
6,126,2,1,15,4,595.15,1
6,66,5,2,15,4,92.93,1
7,92,3,2,1,1,784.69,1
7,127,4,2,1,1,242.75,1
7,34,4,1,18,10,51.38,1
7,76,3,2,18,10,232.54,1
7,8,5,2,4,4,969.68,1
7,64,3,2,4,4,329.41,1
7,27,1,2,8,3,4.5,1
7,128,2,2,8,3,172.21,1
7,129,2,2,4,4,16.21,1
7,130,2,1,4,4,152.74,1
7,8,5,2,25,1,112.55,1
7,64,3,2,25,1,830.57,1
7,66,5,2,3,3,248.42,1
7,131,2,2,3,3,437.38,1
7,132,5,1,19,9,4046.65,1
7,133,5,2,19,9,3065.22,1
7,53,4,2,14,9,672.44,1
7,134,3,1,14,9,3020.3,1
7,135,2,1,6,3,57.86,1
7,135,2,1,6,3,580.48,1
7,136,2,2,17,3,95.03,1
7,137,2,2,17,3,249.05,1
7,138,4,2,1,1,36.47,1
7,139,6,2,1,1,223.8,1
7,19,6,2,3,3,42.62,1
7,25,4,2,3,3,353.16,1
7,76,3,2,11,8,284.46,1
7,98,3,2,11,8,314.22,1
7,109,2,1,19,9,3922.14,1
7,109,2,1,19,9,3194.56,1
7,140,1,2,15,4,353.57,1
7,8,5,2,15,4,845.44,1
7,117,2,2,4,4,78.07,1
7,141,1,1,4,4,154.79,1
7,17,4,2,1,1,72.69,1
7,105,2,2,1,1,486.91,1
7,76,3,2,19,9,2854.69,1
7,8,5,2,19,9,4217.86,1
7,14,3,2,1,1,499.7,1
7,34,4,1,1,1,514.2,1
8,53,4,2,4,4,901.32,1
8,142,5,2,4,4,423.05,1
8,143,6,2,8,3,468.82,1
8,122,2,1,8,3,261.85,1
8,34,4,1,4,4,498.38,1
8,144,2,1,4,4,656.54,1
8,8,5,2,4,4,305.38,1
8,145,3,2,4,4,278.2,1
8,146,1,2,18,10,95.03,1
8,147,2,1,18,10,125.15,1
8,148,3,2,4,4,689.86,1
8,76,3,2,4,4,526.63,1
8,36,3,2,1,1,274.14,1
8,89,1,2,1,1,626.03,1
8,7,2,2,5,4,648.71,1
8,76,3,2,5,4,36.51,1
8,22,2,2,4,4,245.49,1
8,88,1,2,4,4,766.11,1
8,149,2,1,4,4,138.06,1
8,150,5,1,4,4,144.83,1
8,151,2,2,24,2,346.57,1
8,64,3,2,24,2,642.15,1
8,152,2,2,4,4,620.64,1
8,153,3,1,4,4,293.53,1
8,154,5,2,11,8,374.89,1
8,11,1,2,11,8,396.61,1
8,155,2,1,4,4,535.42,1
8,76,3,2,4,4,284.12,1
8,8,5,2,4,4,377.53,1
8,156,4,1,4,4,441.49,1
8,117,2,2,1,1,533.84,1
8,117,2,2,1,1,118.84,1
8,157,3,1,11,8,371.45,1
8,40,4,2,11,8,319.73,1
8,158,3,2,23,9,3799.04,1
8,53,4,2,23,9,2917.32,1
8,34,4,1,4,4,396.62,1
8,34,4,1,4,4,301.36,1
8,19,6,2,4,4,634.76,1
8,159,1,2,4,4,360.09,1
9,92,3,2,9,6,186.8,1
9,120,2,1,9,6,270.6,1
9,9,4,2,1,1,313.5,1
9,64,3,2,1,1,464.28,1
9,160,2,1,12,4,100.02,1
9,8,5,2,12,4,262.63,1
9,111,3,1,1,1,139.04,1
9,34,4,1,1,1,105.64,1
9,52,4,1,2,2,378.11,1
9,19,6,2,2,2,5.79,1
9,146,1,2,4,4,38.66,1
9,83,0,2,4,4,350.56,1
9,161,3,2,4,4,274.91,1
9,162,6,1,4,4,780.28,1
9,163,3,1,3,3,159.43,1
9,43,1,1,3,3,90.15,1
9,164,5,2,16,8,400.38,1
9,165,3,2,16,8,340.11,1
9,24,2,2,1,1,576.72,1
9,166,3,2,1,1,532.68,1
9,167,3,1,15,4,555.92,1
9,168,1,2,15,4,324.95,1
9,88,1,2,3,3,415.09,1
9,169,4,2,3,3,196.12,1
9,34,4,1,4,4,19.11,1
9,76,3,2,4,4,328.51,1
9,170,2,1,1,1,1022.83,1
9,57,3,2,1,1,224.25,1
9,95,4,2,5,4,202.42,1
9,144,2,1,5,4,456.64,1
9,76,3,2,4,4,380.24,1
9,171,5,2,4,4,546.86,1
9,64,3,2,4,4,467.89,1
9,32,3,1,4,4,597.17,1
9,37,3,1,24,2,296.92,1
9,161,3,2,24,2,867.29,1
9,172,3,1,4,4,92.4,1
9,11,1,2,4,4,320.79,1
9,173,6,2,18,10,171.67,1
9,73,3,1,18,10,19,1
10,50,2,1,1,1,123.09,1
10,34,4,1,1,1,729.03,1
10,34,4,1,3,3,42.77,1
10,161,3,2,3,3,198.42,1
10,174,6,2,26,2,53.25,1
10,175,1,1,26,2,769.16,1
10,176,3,2,1,1,326.1,1
10,64,3,2,1,1,432.39,1
10,69,3,1,4,4,168.85,1
10,34,4,1,4,4,303.99,1
10,76,3,2,7,5,133.3,1
10,57,3,2,7,5,251.34,1
10,93,2,2,13,5,242.5,1
10,177,3,2,13,5,278.59,1
10,90,5,2,8,3,604.59,1
10,149,2,1,8,3,14.2,1
10,178,6,2,3,3,446.06,1
10,109,2,1,3,3,458.52,1
10,146,1,2,11,8,320.67,1
10,147,2,1,11,8,267.55,1
10,179,3,1,4,4,425.38,1
10,10,3,2,4,4,62.4,1
10,149,2,1,1,1,694.15,1
10,54,2,1,1,1,703.95,1
10,180,6,2,4,4,606.91,1
10,161,3,2,4,4,52.94,1
10,105,2,2,4,4,442.9,1
10,181,3,2,4,4,261.87,1
10,182,3,1,21,12,251.05,1
10,148,3,2,21,12,22.58,1
10,8,5,2,19,9,2846.67,1
10,183,2,2,19,9,2077.72,1
10,184,3,2,20,11,202.33,1
10,91,4,1,20,11,399.81,1
10,64,3,2,9,6,663.05,1
10,185,3,1,9,6,736.28,1
10,186,4,2,11,8,261.05,1
10,19,6,2,11,8,352.28,1
10,8,5,2,16,8,403.01,1
10,187,3,1,16,8,167.48,1
11,19,6,2,11,8,253.12,1
11,188,4,2,11,8,186.54,1
11,161,3,2,20,11,615.84,1
11,24,2,2,20,11,318.67,1
11,108,5,2,18,10,44.15,1
11,189,3,2,18,10,174.67,1
11,190,3,2,11,8,275.82,1
11,191,3,2,11,8,421.35,1
11,66,5,2,4,4,871.66,1
11,175,1,1,4,4,152.55,1
11,192,4,1,11,8,314.96,1
11,192,4,1,11,8,202.93,1
11,8,5,2,4,4,635.86,1
11,183,2,2,4,4,659.47,1
11,149,2,1,21,12,354.31,1
11,88,1,2,21,12,79.8,1
11,163,3,1,1,1,871.01,1
11,193,3,2,1,1,881.09,1
11,159,1,2,1,1,325.14,1
11,24,2,2,1,1,512.29,1
11,194,3,2,18,10,137.29,1
11,11,1,2,18,10,238.37,1
11,158,3,2,16,8,251.74,1
11,47,0,2,16,8,93.08,1
11,50,2,1,13,5,102.64,1
11,64,3,2,13,5,291.98,1
11,39,3,2,26,2,187.29,1
11,195,5,2,26,2,190.23,1
11,177,3,2,27,2,252.22,1
11,196,4,1,27,2,137.4,1
11,34,4,1,4,4,379.73,1
11,197,3,1,4,4,402.4,1
11,102,4,2,28,3,472.62,1
11,90,5,2,28,3,304.17,1
11,198,2,2,4,4,760.03,1
11,64,3,2,4,4,199.75,1
11,97,2,1,4,4,514.25,1
11,199,2,2,4,4,241.93,1
11,34,4,1,1,1,29.68,1
11,67,3,2,1,1,128.09,1
12,190,3,2,4,4,137.72,1
12,190,3,2,4,4,133.78,1
12,92,3,2,27,2,177.99,1
12,177,3,2,27,2,38.55,1
12,145,3,2,12,4,552.07,1
12,52,4,1,12,4,201,1
12,200,2,2,13,5,574.46,1
12,50,2,1,13,5,508.6,1
12,24,2,2,20,11,38.79,1
12,201,3,2,20,11,85.58,1
12,50,2,1,12,4,232.85,1
12,50,2,1,12,4,393.81,1
12,202,3,2,1,1,312.62,1
12,76,3,2,1,1,1008.56,1
12,203,3,1,4,4,71.36,1
12,34,4,1,4,4,508.13,1
12,88,1,2,9,6,72.83,1
12,87,1,2,9,6,194.43,1
12,24,2,2,4,4,558,1
12,204,4,1,4,4,66.56,1
12,205,4,2,4,4,427.28,1
12,50,2,1,4,4,111.36,1
12,39,3,2,12,4,615.91,1
12,206,3,2,12,4,68.19,1
12,74,2,1,4,4,373.37,1
12,53,4,2,4,4,353.03,1
12,207,5,2,1,1,255.63,1
12,88,1,2,1,1,121.94,1
12,24,2,2,5,4,627.8,1
12,208,2,2,5,4,635.52,1
12,47,0,2,1,1,571.59,1
12,35,3,1,1,1,239.62,1
12,162,6,1,11,8,331.56,1
12,209,3,2,11,8,294.98,1
12,189,3,2,18,10,500.54,1
12,210,2,1,18,10,10.99,1
12,95,4,2,1,1,247.56,1
12,7,2,2,1,1,238.36,1
12,211,4,2,7,5,79.82,1
12,178,6,2,7,5,846.61,1
13,205,4,2,19,9,3333.31,1
13,62,6,1,19,9,1998.45,1
13,34,4,1,23,9,4909.26,1
13,212,5,2,23,9,1070.23,1
13,213,2,2,1,1,91.87,1
13,88,1,2,1,1,433.62,1
13,214,2,2,4,4,413.74,1
13,211,4,2,4,4,87.5,1
13,215,2,1,1,1,596.32,1
13,215,2,1,1,1,298.63,1
13,159,1,2,21,12,45.36,1
13,216,4,1,21,12,191.17,1
13,34,4,1,1,1,53.01,1
13,217,5,2,1,1,747.24,1
13,218,2,1,3,3,223.42,1
13,219,5,2,3,3,401.78,1
13,2,3,1,6,3,213.82,1
13,138,4,2,6,3,507.18,1
13,204,4,1,13,5,245.26,1
13,157,3,1,13,5,773.59,1
13,220,4,1,24,2,336.25,1
13,202,3,2,24,2,569.3,1
13,34,4,1,9,6,41.08,1
13,221,1,2,9,6,313.64,1
13,92,3,2,1,1,214.49,1
13,127,4,2,1,1,178.75,1
13,185,3,1,4,4,302.83,1
13,222,4,1,4,4,364.07,1
13,26,4,1,4,4,350,1
13,223,1,2,4,4,109.52,1
13,224,2,2,7,5,814.44,1
13,128,2,2,7,5,494.42,1
13,161,3,2,7,5,572.36,1
13,88,1,2,7,5,835,1
13,225,2,2,4,4,769.75,1
13,159,1,2,4,4,341.34,1
13,34,4,1,5,4,264.56,1
13,226,3,2,5,4,785.45,1
13,159,1,2,4,4,592.15,1
13,227,4,1,4,4,382.54,1
14,9,4,2,21,12,133.69,1
14,98,3,2,21,12,13.62,1
14,228,4,2,1,1,126.34,1
14,81,3,2,1,1,207.63,1
14,149,2,1,1,1,353.11,1
14,207,5,2,1,1,146.43,1
14,171,5,2,1,1,31.05,1
14,135,2,1,1,1,57.67,1
14,50,2,1,20,11,781.61,1
14,34,4,1,20,11,995.2,1
14,64,3,2,3,3,500.43,1
14,53,4,2,3,3,287.36,1
14,229,1,2,4,4,220.93,1
14,161,3,2,4,4,252.59,1
14,190,3,2,27,2,971.32,1
14,78,4,2,27,2,201.88,1
14,230,3,1,15,4,99.74,1
14,17,4,2,15,4,211.78,1
14,208,2,2,18,10,156.11,1
14,199,2,2,18,10,106.69,1
14,231,6,2,1,1,204.31,1
14,34,4,1,1,1,254.7,1
14,223,1,2,1,1,91.85,1
14,11,1,2,1,1,117.14,1
14,205,4,2,1,1,384.11,1
14,8,5,2,1,1,190.73,1
14,65,1,1,4,4,39.41,1
14,47,0,2,4,4,406.5,1
14,161,3,2,3,3,45.32,1
14,232,4,2,3,3,168.24,1
14,1,3,1,1,1,298.04,1
14,161,3,2,1,1,402.29,1
14,205,4,2,1,1,17.57,1
14,26,4,1,1,1,226.55,1
14,161,3,2,1,1,124.37,1
14,199,2,2,1,1,268.72,1
14,24,2,2,1,1,319.06,1
14,36,3,2,1,1,586.21,1
14,233,2,2,21,12,163.53,1
14,174,6,2,21,12,217.52,1
15,205,4,2,5,4,760.81,1
15,70,3,1,5,4,147.4,1
15,166,3,2,3,3,136.18,1
15,7,2,2,3,3,34.9,1
15,234,4,2,21,12,276.69,1
15,235,3,2,21,12,112.06,1
15,161,3,2,18,10,129.36,1
15,188,4,2,18,10,120.96,1
15,159,1,2,9,6,381.93,1
15,236,6,1,9,6,124.41,1
15,237,0,2,4,4,437.59,1
15,213,2,2,4,4,260.51,1
15,161,3,2,5,4,239.47,1
15,205,4,2,5,4,396.92,1
15,238,1,1,4,4,378.48,1
15,156,4,1,4,4,59.53,1
15,217,5,2,7,5,667.76,1
15,147,2,1,7,5,135.72,1
15,207,5,2,1,1,25.65,1
15,64,3,2,1,1,69.72,1
15,50,2,1,12,4,212.03,1
15,231,6,2,12,4,427.76,1
15,145,3,2,3,3,254.31,1
15,149,2,1,3,3,136.53,1
15,239,1,2,19,9,813.14,1
15,137,2,2,19,9,5736.56,1
15,208,2,2,15,4,386.87,1
15,19,6,2,15,4,277.08,1
15,161,3,2,13,5,377.26,1
15,240,6,2,13,5,69.62,1
15,64,3,2,4,4,130.4,1
15,57,3,2,4,4,529.78,1
15,160,2,1,9,6,13.21,1
15,89,1,2,9,6,289.54,1
15,181,3,2,1,1,466.47,1
15,165,3,2,1,1,265.75,1
15,174,6,2,10,7,161.56,1
15,241,1,2,10,7,4.35,1
15,158,3,2,16,8,413.44,1
15,65,1,1,16,8,414.86,1
16,163,3,1,5,4,305.75,1
16,242,5,2,5,4,862.53,1
16,243,4,1,21,12,26.44,1
16,11,1,2,21,12,78.51,1
16,244,2,1,15,4,116.03,1
16,213,2,2,15,4,321.61,1
16,245,2,1,14,9,5577.33,1
16,15,3,2,14,9,2278.82,1
16,134,3,1,7,5,253.4,1
16,246,4,2,7,5,345.18,1
16,64,3,2,4,4,293.41,1
16,247,2,2,4,4,129.57,1
16,22,2,2,4,4,60.62,1
16,248,2,1,4,4,134.91,1
16,161,3,2,1,1,503.08,1
16,199,2,2,1,1,836.72,1
16,181,3,2,22,1,493.79,1
16,249,5,2,22,1,520.11,1
16,250,2,1,1,1,7.87,1
16,221,1,2,1,1,157.97,1
16,109,2,1,4,4,590.37,1
16,148,3,2,4,4,752.35,1
16,8,5,2,21,12,78.33,1
16,8,5,2,21,12,57.44,1
16,62,6,1,17,3,404.65,1
16,251,3,2,17,3,578,1
16,34,4,1,4,4,533.1,1
16,133,5,2,4,4,121.69,1
16,234,4,2,3,3,107.18,1
16,140,1,2,3,3,125.09,1
16,95,4,2,19,9,2909.61,1
16,7,2,2,19,9,1393.18,1
16,161,3,2,1,1,231.33,1
16,161,3,2,1,1,368.53,1
16,68,2,2,19,9,2668.66,1
16,7,2,2,19,9,3007.98,1
16,173,6,2,4,4,503.5,1
16,210,2,1,4,4,89.71,1
16,36,3,2,4,4,124.01,1
16,252,3,1,4,4,299.42,1
17,125,3,1,1,1,411.49,1
17,186,4,2,1,1,441.37,1
17,112,1,2,1,1,476.43,1
17,199,2,2,1,1,325.01,1
17,213,2,2,1,1,165.83,1
17,253,4,2,1,1,667.19,1
17,161,3,2,4,4,69.29,1
17,8,5,2,4,4,304.26,1
17,26,4,1,1,1,1021.5,1
17,76,3,2,1,1,98.36,1
17,213,2,2,1,1,7.59,1
17,64,3,2,1,1,801.73,1
17,205,4,2,9,6,279.76,1
17,254,4,2,9,6,142.74,1
17,34,4,1,1,1,29.01,1
17,159,1,2,1,1,251.42,1
17,115,4,2,5,4,472.17,1
17,151,2,2,5,4,329.89,1
17,255,4,2,4,4,698.77,1
17,256,1,2,4,4,370.14,1
17,257,3,2,19,9,387.96,1
17,120,2,1,19,9,4729.74,1
17,258,3,1,4,4,410.67,1
17,202,3,2,4,4,715.2,1
17,76,3,2,11,8,375.73,1
17,64,3,2,11,8,479.43,1
17,205,4,2,5,4,127.05,1
17,134,3,1,5,4,410.34,1
17,177,3,2,4,4,104.4,1
17,259,3,1,4,4,33.49,1
17,260,4,2,15,4,18.17,1
17,261,2,2,15,4,535.25,1
17,64,3,2,1,1,50.83,1
17,262,4,1,1,1,91.39,1
17,263,2,1,13,5,774.13,1
17,264,6,2,13,5,143.04,1
17,265,3,2,12,4,233.48,1
17,266,5,1,12,4,712.12,1
17,267,4,1,1,1,1167.7,1
17,34,4,1,1,1,977.76,1
18,194,3,2,4,4,105.73,1
18,231,6,2,4,4,478.85,1
18,209,3,2,21,12,334.25,1
18,268,2,2,21,12,52.95,1
18,8,5,2,4,4,464.45,1
18,19,6,2,4,4,161.42,1
18,143,6,2,29,4,592.91,1
18,130,2,1,29,4,186.83,1
18,262,4,1,4,4,562.03,1
18,46,4,2,4,4,529.4,1
18,205,4,2,6,3,362.29,1
18,8,5,2,6,3,103.99,1
18,269,2,1,4,4,339.76,1
18,186,4,2,4,4,904.45,1
18,161,3,2,4,4,165.11,1
18,228,4,2,4,4,154.36,1
18,247,2,2,15,4,346.43,1
18,159,1,2,15,4,45.29,1
18,270,4,1,19,9,825.66,1
18,271,4,1,19,9,3612.92,1
18,171,5,2,3,3,3.77,1
18,272,2,2,3,3,67.21,1
18,64,3,2,1,1,615.5,1
18,273,2,2,1,1,370.59,1
18,161,3,2,1,1,268.98,1
18,159,1,2,1,1,36.12,1
18,161,3,2,19,9,1450.82,1
18,145,3,2,19,9,2221.54,1
18,67,3,2,19,9,3993.1,1
18,50,2,1,19,9,2248.92,1
18,26,4,1,1,1,553.51,1
18,45,2,2,1,1,907.57,1
18,38,3,1,4,4,571.05,1
18,274,4,2,4,4,395,1
18,275,1,2,3,3,81.75,1
18,276,5,1,3,3,164.54,1
18,145,3,2,1,1,238.94,1
18,277,5,1,1,1,120.18,1
18,8,5,2,11,8,322.94,1
18,278,3,2,11,8,314.2,1
19,89,1,2,24,2,728.96,1
19,279,2,2,24,2,995.89,1
19,29,1,1,16,8,359.16,1
19,280,4,2,16,8,355.56,1
19,205,4,2,1,1,335.37,1
19,161,3,2,1,1,1111.65,1
19,37,3,1,3,3,96.63,1
19,71,3,2,3,3,164.5,1
19,281,5,1,4,4,30.3,1
19,204,4,1,4,4,50.17,1
19,50,2,1,4,4,340.67,1
19,161,3,2,4,4,374.27,1
19,205,4,2,4,4,106.4,1
